id,date_id,title,theater,company,event_type,hadamowsky,morrow,notes
97,1781-02-21,"Soliman der Zweyte, oder Die drey Sultaninnen",Bth,Court,reprise,Yes,NA,NA
102,1781-02-22,Das Winterquartier in Amerika,Bth,Court,reprise,Yes,NA,"Zinzendorf attended this performance and that of Der eifersüchtige Liebhaber. It was his first attendance of a public theatrical performances since his return from Trieste.""♃. 22. Fevrier. [...] Dela au Spectacle national. D[as] WinterQuartier in America. La Jaquet, jolie actrice. Der eifersüchtige Liebhaber opera comique françois traduit. belle musique. Adamberger chanta bien. La Lang qui est grosse point parfaitement, Vischer bien. L'air de Alonso Sans jalousie point d'amour. J'etois avec M:e de Thun dans la loge du C:te Rosenberg."""
107,1781-02-23,"Concert, Tebaldo Monzani",Bth,NA,concert,No,No,This was Monzani's only known appearance in Vienna
108,1781-02-24,Das Loch in der Thüre,Bth,Court,benefit,Yes,NA,"""Hr. Autors Einnahme.""This was the third performance, and the proceeds went to Stephanie d. J.Zinendorf attempted to go to this performance, but couldn't find a seat."
112,1781-02-25,Die Rechnung ohne den Wirth,Bth,Court,reprise,Yes,NA,NA
116,1781-02-26,Wahrheit ist gut Ding,Bth,Court,reprise,Yes,NA,NA
120,1781-02-27,Der Schneider und sein Sohn,Bth,Court,reprise,Yes,NA,NA
125,1781-03-04,"Concert, Valentin Adamberger",Bth,NA,concert,No,NA,"""Musikalische Akademie. / Zum Vortheil Hr. Adambergers Mitglied d. K. K. / N. H. Schaubühne."""
126,1781-03-06,"Concert, Mathias Thurner",Bth,NA,concert,No,No,"""Dergleichen z. V. Hr. Thurners, M. d. Orchest. b. Nationaltheater.""Mathias Thurner was a flutist in the orchestra of the court orchestra in Vienna; see Steblin, JAMIS 2008."
127,1781-03-08,"Concert, French company",Bth,NA,concert,No,No,"""Dergleichen z. V. der Unternehmer des Franz. Schauspiels."""
128,1781-03-11,Alcide al bivio (TKS),Kth,NA,concert,No,Yes,"""Dergleichen z. V. der Tonkünstler Gesellschaft allhier. Alcid am Scheidwege.""The planned concerts of the Tonkünstler-Societät before Christmas 1780 had been postponed because of the death of Empress Maria Theresia on 29 Nov 1780. The society's concerts on 11 and 13 Mar 1781 made up for these; the society also held its usual concerts at the end of Lent, on 1 and 3 Apr 1781."
129,1781-03-12,"Concert, Ludwig Fischer",Bth,NA,concert,No,No,NA
130,1781-03-13,Alcide al bivio (TKS),Kth,NA,concert,No,Yes,"""Wie am Sonntag den 11. d. M."""
131,1781-03-15,"Concert, Józef Boruwłaski (dwarf)",Bth,NA,concert,No,Yes,"""Dergleichen / z. V. Hr. Boruwlaski in Königl. Pohlnischen / Diensten.""See Boruwłaski's description of his visit to Vienna in 1781 and his concert in his autobiography, 159ffMorrow (249) notes that the concert is in Zinzendorf, who mentions a guitar player and Adamberger"
132,1781-03-18,Il natale di Apollo (concert),Bth,NA,concert,No,No,"""Dergleichen / z. V. Hr. Righini, gen. Apolls Geburtstag.""Il natale di Apollo is usually said to have been composed for the concert of the Tonkünstler-Societät in Dec 1789 (see Christoph Henzel, ""Righini, Vincenzo,"" Grove Music Online). This performance in 1781 suggests that the work may have existed in some form at this earlier date."
133,1781-03-19,"Concert, Friedrich Ramm",Bth,NA,concert,No,No,"""Dergleichen / z. V. Hr. Ramms in Churbayer. Diensten."""
134,1781-03-20,"Concert, Elisabeth Mara",Kth,NA,concert,No,Yes,"""Dergleichen / z. V. der Madame Mara.""In Schletter, the date appears as ""Dienstag / d. a2. [sic]""MBA, iii:101, Wolfgang to Leopold, 24 Mar:""die Mara ist hier; – sie hat vergangen dienstag eine accademie im Theater gegeben. – ihr Mann hat sich nicht dürfen sehen lassen, sonst hätte das orchstre nicht accompagnirt, weil er in die Zeitungen gedruckt hat, i ganz Wien seye kein Mensch im stande ihm zu accompagniren."""
135,1781-03-25,Il natale di Apollo (concert),Bth,NA,concert,No,No,Reprise of Il natale di Apollo
136,1781-03-26,"Concert, Peter Winter and Franz Tausch",Bth,NA,concert,No,No,"""Dergleichen / z. V. Hr. Winter und Tausch, in Churbayer. / Diensten.""Cf. 2 Feb"
137,1781-03-27,"Concert, Madame Olivieri",Bth,NA,concert,No,No,"""Dergleichen / z. V. der Madame Olivieri.""Madame Olivieri not yet identified"
138,1781-03-29,"Concert, Madame Varenne",Bth,NA,concert,No,Yes,"""Dergleichen / z. V. der Madam Varennes.""In ZinzendorfMadame Varenne played in concerts at the French ambassador's on 24 Mar, 28 Mar, 7 Apr, and 5 May 1781 (on 7 Apr with ""Herr Varene"", violin), and on 4 Apr at Prince Paar."
139,1781-04-01,Die Pilgrime auf Golgotha (TKS),Kth,NA,concert,No,Yes,"The oratorio Die Pilgrime auf Golgotha was composed by Johann Georg Albrechtsberger (1736–1809). All four vocal soloists were members of the ensemble of the court theater in Vienna, and all created roles in Mozart's Die Entführung aus dem Serail the following year: Caterina Cavalieri (1755–1801; Konstanze); Therese Teyber (1760–1830; Blonde); Valentin Adamberger (1743?–1804; Belmonte); and Ludwig Fischer (1745–1825; Osmin)."
140,1781-04-03,Die Pilgrime auf Golgotha (TKS),Kth,NA,concert,No,Yes,Albrechtsberger's Die Pilgrime auf Golgatha was performed.A Mozart symphony was performed and he played the piano.
141,1781-04-05,"Concert, Elisabeth Mara",Kth,NA,concert,No,No,NA
142,1781-04-16,Agnes Bernauerinn,Bth,Court,premiere,Yes,NA,"Zinendorf attended this premiere, calling it a ""mauvaise tragedie"", noting, however, ""Schroeder qui fit le rôle du Duc Albert de Bavière, joua comme un ange."""
618,1781-04-17,Die Pilgrime von Mekka,Bth,Court,reprise,Yes,NA,NA
621,1781-04-18,Agnes Bernauerinn,Bth,Court,reprise,Yes,NA,"This performance was attended by the Emperor, Archduchesses Maria Anna, Maria, and Maria Elisabeth, and Duke Albert von Sachsen-Teschen (WZ, Sat, 21 Apr 1781, no. 32, [6]"
143,1781-04-19,Die verfolgte Unbekannte,Bth,Court,reprise,Yes,NA,"Zinzendorf attended this performance, writing ""Belle musique."""
146,1781-04-20,Wissenschaft geht vor Schönheit,Bth,unknown,benefit,No,NA,"This performance in the Burgtheater is not in Hadamowsky or Von Alth/Obzyna. Because it took place on a Friday, it may have been a benefit. Hadamowsky has the Burgtheater as ""geschlossen"" on this day.""Wissenschaft. geht vor / Schonheit [sic]. / L. in 3. A. n. G. v. B."""
147,1781-04-21,Die Gefahren der Verführung,Bth,Court,premiere,Yes,NA,Performed only four times before being dropped.
149,1781-04-22,Die Gefahren der Verführung,Bth,Court,premiere,Yes,NA,"Zinzendorf attended this performance, writing: ""Je trouvois Schroeter excellent en vieillard, jeu noble, [debit] agréable."""
152,1781-04-23,Die große Batterie,Bth,Court,reprise,Yes,NA,NA
154,1781-04-24,Die gegenseitige Probe,Bth,Court,reprise,Yes,NA,NA
158,1781-04-25,Emilia Galotti,Bth,Court,reprise,Yes,NA,NA
161,1781-04-26,"Jenny, oder die Uneigennützigkeit",Bth,Court,reprise,Yes,NA,NA
162,1781-04-27,Die verstorbene Ehefrau,Bth,unknown,benefit,No,NA,Not in Hadamowsky or Von Alth/Obzyna. Possibly a benefit.
165,1781-04-28,Die Schwäger,Kth,Court,premiere,Yes,NA,Performed only three times
170,1781-04-29,Die Schwäger,Bth,Court,reprise,Yes,NA,NA
174,1781-04-30,Der Rauchfangkehrer,Bth,Court,premiere,Yes,NA,NA
175,1781-05-01,Der sehende Blinde,Bth,Court,reprise,Yes,NA,NA
179,1781-05-02,Der flatterhafte Ehemann,Bth,Court,reprise,Yes,NA,"Zinzendorf attended this performance: ""Le soir au Spectacle der flatterhaffte Liebhaber [sic]. Schroeter y joua a merveille en pauvre rôle [...]"""
181,1781-05-03,Die abgenöthige Einwilligung,Bth,Court,reprise,Yes,NA,NA
185,1781-05-04,Die verstorbene Ehefrau,Bth,unknown,reprise,No,NA,"Not in Hadamowsky or Von Alth/Obzyna. Benefit? Hadamowsky has the Burgtheater as ""geschollsen"" on this day."
186,1781-05-05,Die Schwäger,Bth,Court,benefit,Yes,NA,"""Autors Einnahme"". Final performance."
190,1781-05-06,Der Neugierige,Bth,Court,reprise,Yes,NA,NA
193,1781-05-07,Der Schubkarren des Essighändlers,Bth,Court,reprise,Yes,NA,"""Der Eßighandler. / L. in 3. A. a. d. Fr.""Adapted from Mercier's La Brouette du vinaigrier.Zinzendorf attended these peformances: ""Le soir au Theatre. der Wein Eßig Händler. mauvais pièce que Schroeter rendit tres suportable par son jeu excellent. Ariadne zu Naxos Ein melodrama. M:e Schroeter tres bien [****], joua assez bien. L'orage a merveille."""
195,1781-05-08,Der Rauchfangkehrer,Bth,Court,reprise,Yes,NA,NA
197,1781-05-09,Wahrheit ist gut Ding,Bth,Court,reprise,Yes,NA,NA
199,1781-05-10,Der Rauchfangkehrer,Bth,Court,reprise,Yes,NA,NA
202,1781-05-11,Der Zaubergürtel,Bth,unknown,benefit,No,NA,"Not in Hadamowsky or Von Alth/Obzyna. Friday benefit? Hadamowsky has the Burgtheater as ""geschlossen."""
204,1781-05-12,"Geschwind, eh es jemand erfährt",Bth,Court,reprise,Yes,NA,NA
208,1781-05-13,Der Rauchfangkehrer,Bth,Court,reprise,Yes,NA,NA
211,1781-05-14,Das Loch in der Thüre,Bth,Court,reprise,Yes,NA,NA
214,1781-05-15,Der Oberamtmann und die Soldaten,Bth,Court,reprise,Yes,NA,From Calderon's Alcalde de Zalamea
215,1781-05-16,Die Pilgrime von Mekka,Bth,Court,reprise,Yes,NA,NA
217,1781-05-17,Die Gefahren der Verführung,Bth,Court,reprise,Yes,NA,NA
223,1781-05-18,Die Brüder,Bth,unknown,benefit,No,NA,"Not in Hadamowsky or Von Alth/Obzyna. Perhaps a Friday benefit. Hadamowsky has the Burgtheater as ""geschlossen"" on this day."
225,1781-05-19,Hamlet,Bth,Court,reprise,Yes,NA,Probably with Schröder in the title role?
226,1781-05-20,Der Bettelstudent,Bth,Court,reprise,Yes,NA,NA
230,1781-05-21,Henriette,Bth,Court,reprise,Yes,NA,NA
231,1781-05-22,"Jenny, oder die Uneigennützigkeit",Bth,Court,reprise,Yes,NA,NA
237,1781-05-23,Athelstan,Bth,Court,reprise,Yes,NA,NA
233,1781-05-24,Le Tartuffe,Kth,French,unknown,No,NA,NA
240,1781-05-25,Theaters closed,NA,NA,closed,NA,NA,NA
241,1781-05-26,Der argwöhnische Ehemann,Bth,Court,premiere,Yes,NA,NA
244,1781-05-27,Der argwöhnische Ehemann,Bth,Court,reprise,Yes,NA,NA
247,1781-05-28,Die Widersprecherin,Bth,Court,reprise,Yes,NA,NA
249,1781-05-29,Der Schmuck,Bth,Court,premiere,Yes,NA,NA
252,1781-05-30,Die Trauer,Bth,Court,reprise,Yes,NA,NA
254,1781-05-31,Romeo und Julie,Bth,Court,reprise,Yes,NA,NA
258,1781-06-01,"Hanns bleibt Hanns, oder der Bauer, ein Fürst",Bth,unknown,benefit,No,NA,"Not in Hadamowsky or Von Alth/Obzyna. Perhaps a Friday benefit? Hadamowsky has the Burgtheater as ""geschlossen""  on this day."
260,1781-06-02,Der Herr Gevatter,Bth,Court,reprise,Yes,NA,NA
264,1781-06-03,Theaters closed for Pentecost (Pfingsten),NA,NA,NA,NA,NA,"""Vacat wegen Pfingstfestes"""
265,1781-06-04,Der Rauchfangkehrer,Bth,Court,reprise,Yes,NA,NA
268,1781-06-05,"Eugenie, oder Die Tugend in Gefahr",Bth,Court,reprise,Yes,NA,NA
270,1781-06-06,Die Liebe unter den Handwerksleuten,Bth,Court,reprise,Yes,NA,NA
271,1781-06-07,Die Nebenbuhler,Bth,Court,reprise,Yes,NA,NA
273,1781-06-08,Theaters closed,NA,NA,closed,NA,NA,NA
274,1781-06-09,Richard der Dritte,Bth,Court,reprise,Yes,NA,NA
277,1781-06-10,Die Wölfe in der Heerde,Bth,Court,reprise,Yes,NA,NA
279,1781-06-11,Die Wirthschaftlerinn,Bth,Court,reprise,Yes,NA,NA
282,1781-06-12,Edwin und Emma,Bth,Court,reprise,Yes,NA,NA
285,1781-06-13,Die verfolgte Unbekannte,Bth,Court,reprise,Yes,NA,NA
286,1781-06-14,Theaters closed (Corpus Christi),NA,NA,closed,NA,NA,NA
287,1781-06-15,Theaters closed,NA,NA,closed,NA,NA,NA
288,1781-06-16,Die heimliche Heyrath,Bth,Court,premiere,Yes,NA,NA
290,1781-06-17,Die heimliche Heyrath,Bth,Court,reprise,Yes,NA,NA
293,1781-06-18,Die verfolgte Unbekannte,Bth,Court,reprise,Yes,NA,NA
294,1781-06-19,König Lear,Bth,Court,reprise,Yes,NA,NA
297,1781-06-20,Der Rauchfangkehrer,Bth,Court,reprise,Yes,NA,NA
300,1781-06-21,Der argwöhnische Ehemann,Bth,Court,reprise,Yes,NA,NA
302,1781-06-22,Theaters closed,NA,NA,NA,NA,NA,NA
303,1781-06-23,Das Findelkind,Bth,Court,premiere,Yes,NA,NA
307,1781-06-24,Das Findelkind,Bth,Court,reprise,Yes,NA,NA
310,1781-06-25,Nacht und Ungefähr,Bth,Court,reprise,Yes,NA,NA
312,1781-06-26,Die heimliche Heyrath,Bth,Court,reprise,Yes,NA,NA
313,1781-06-27,Die verfolgte Unbekannte,Bth,Court,reprise,Yes,NA,NA
315,1781-06-28,Richard der Dritte,Bth,Court,reprise,Yes,NA,NA
318,1781-06-29,Theaters closed,NA,NA,NA,NA,NA,NA
319,1781-06-30,Die Gefahren der Verführung,Bth,Court,reprise,Yes,NA,Final performance
322,1781-07-01,Der Dichterling,Bth,Court,reprise,Yes,NA,NA
325,1781-07-02,Juliane von Lindorak,Bth,Court,reprise,Yes,NA,NA
329,1781-07-03,Die Ungetreuen,Bth,Court,premiere,Yes,NA,NA
333,1781-07-04,Der Graf von Walltron,Bth,Court,reprise,Yes,NA,NA
336,1781-07-05,Die unversehene Wette,Bth,Court,premiere,Yes,NA,NA
340,1781-07-06,Theaters closed,NA,NA,NA,NA,NA,NA
341,1781-07-07,Der Dienstfertige,Bth,Court,premiere,Yes,NA,NA
342,1781-07-08,Der Sklavenhändler von Smyrna,Bth,Court,reprise,Yes,NA,NA
345,1781-07-09,Der Rauchfangkehrer,Bth,Court,reprise,Yes,NA,NA
351,1781-07-10,Der Barbier von Sevilien,Bth,Court,reprise,Yes,NA,NA
354,1781-07-11,Der Liebhaber als ein Schriftsteller und Bedienter,Bth,Court,reprise,Yes,NA,NA
358,1781-07-12,Der gutherzige Murrkopf,Bth,Court,reprise,Yes,NA,NA
363,1781-07-13,Theaters closed,NA,NA,NA,NA,NA,NA
364,1781-07-14,Der Dienstfertige,Bth,Court,reprise,Yes,NA,NA
367,1781-07-15,Der verlogene Bediente,Bth,Court,reprise,Yes,NA,NA
372,1781-07-16,Die heimliche Heyrath,Bth,Court,reprise,Yes,NA,NA
376,1781-07-17,"Adelaide, oder die Antipathie gegen die Liebe",Bth,Court,reprise,Yes,NA,Final performance
380,1781-07-18,Olivie,Bth,Court,reprise,Yes,NA,NA
383,1781-07-19,Zemire und Azor,Bth,Court,reprise,Yes,NA,In German
384,1781-07-20,Theaters closed,NA,NA,NA,NA,NA,NA
385,1781-07-21,Die dürftige Familie,Bth,Court,premiere,Yes,NA,NA
386,1781-07-22,Der Kühehirt,Bth,Court,reprise,Yes,NA,NA
391,1781-07-23,Der Todte ein Freyer,Bth,Court,reprise,Yes,NA,NA
394,1781-07-24,Der Westindier,Bth,Court,reprise,Yes,NA,NA
395,1781-07-25,Der Barbier von Sevilien,Bth,Court,reprise,Yes,NA,NA
398,1781-07-26,Die Pilgrime von Mekka,Bth,Court,reprise,Yes,NA,NA
401,1781-07-27,Theaters closed,NA,NA,NA,NA,NA,NA
402,1781-07-28,Elfride,Bth,Court,reprise,Yes,NA,NA
405,1781-07-29,Betrug für Betrug,Bth,Court,reprise,Yes,NA,NA
407,1781-07-30,Die gegenseitige Probe,Bth,Court,reprise,Yes,NA,NA
411,1781-07-31,Erwine von Steinheim,NA,Court,reprise,Yes,NA,NA
412,1781-08-01,Bekir und Gulroui,Bth,Court,reprise,Yes,NA,Final performance
416,1781-08-02,Die dürftige Familie,Bth,Court,reprise,Yes,NA,NA
419,1781-08-03,Theaters closed,NA,NA,NA,NA,NA,NA
420,1781-08-04,Der dankbare Sohn,Bth,Court,reprise,Yes,NA,NA
424,1781-08-05,Das Landmädchen,Bth,Court,reprise,Yes,NA,NA
426,1781-08-06,Wahrheit ist gut Ding,Bth,Court,reprise,Yes,NA,NA
429,1781-08-07,Die Uebereilung,Bth,Court,reprise,Yes,NA,NA
431,1781-08-08,Zu gut ist nicht gut,Bth,Court,reprise,Yes,NA,Final performance
434,1781-08-09,Die Trauer,Bth,Court,reprise,Yes,NA,NA
438,1781-08-10,Theaters closed,NA,NA,NA,NA,NA,NA
439,1781-08-11,Gianetta Montaldi,Bth,Court,premiere,Yes,NA,NA
442,1781-08-12,Gianetta Montaldi,Bth,Court,reprise,Yes,NA,NA
446,1781-08-13,Der Bettler,Bth,Court,reprise,Yes,NA,NA
448,1781-08-14,Die heimliche Heyrath,Bth,Court,reprise,Yes,NA,NA
451,1781-08-15,Der Dichterling,Bth,Court,reprise,Yes,NA,NA
454,1781-08-16,Die dürftige Familie,Bth,Court,reprise,Yes,NA,Final perfomance
457,1781-08-17,Theaters closed,NA,NA,NA,NA,NA,NA
458,1781-08-18,Theaters closed (anniversary of death of Francis Stephen),NA,NA,NA,NA,NA,NA
459,1781-08-19,Zemire und Azor,Bth,Court,reprise,Yes,NA,In German as singspiel
463,1781-08-20,Der argwöhnische Ehemann,Bth,Court,reprise,Yes,NA,NA
464,1781-08-21,Romeo und Julie,Bth,Court,reprise,Yes,NA,NA
467,1781-08-22,Der Rauchfangkehrer,Bth,Court,reprise,Yes,NA,NA
468,1781-08-23,Der Barbier von Sevilien,Bth,Court,reprise,Yes,NA,NA
471,1781-08-24,Theaters closed,NA,NA,NA,NA,NA,NA
472,1781-08-25,Der Dienstfertige,Bth,Court,reprise,Yes,NA,NA
475,1781-08-26,Die Wildschützen,Bth,Court,reprise,Yes,NA,NA
477,1781-08-27,Die Pilgrime von Mekka,Bth,Court,reprise,Yes,NA,NA
478,1781-08-28,Der Schubkarren des Essighändlers,Bth,Court,reprise,Yes,NA,NA
482,1781-08-29,Die Eroberung von Saint-Lucie,Bth,Court,reprise,Yes,NA,NA
484,1781-08-30,Gianetta Montaldi,Bth,Court,reprise,Yes,NA,NA
487,1781-08-31,Adelheit von Veltheim,Bth,Kinder,premiere,No,NA,This work and performance is not in Hadamowsky.
488,1781-09-01,"Jenny, oder die Uneigennützigkeit",Bth,Court,reprise,Yes,NA,NA
491,1781-09-02,Der Kobold,Bth,Court,reprise,Yes,NA,NA
493,1781-09-03,Die Rechnung ohne den Wirth,Bth,Court,reprise,Yes,NA,NA
495,1781-09-04,Athelstan,Bth,Court,reprise,Yes,NA,NA
498,1781-09-05,Der Rauchfangkehrer,Bth,Court,reprise,Yes,NA,NA
499,1781-09-06,Die gute Tochter,Bth,Court,reprise,Yes,NA,NA
500,1781-09-07,Adelheit von Veltheim,Bth,Kinder,reprise,No,NA,See 31 Aug 1781
501,1781-09-08,Theaters closed for Mariä Geburt (Nativity of Mary),NA,NA,NA,NA,NA,NA
502,1781-09-09,Die Ungetreuen,Bth,Court,reprise,Yes,NA,Final performance
505,1781-09-10,Richard der Dritte,Bth,Court,reprise,Yes,NA,NA
506,1781-09-11,Das Lustlager,Bth,Court,reprise,Yes,NA,Final performance
510,1781-09-12,Der Graf von Olsbach,Bth,Court,reprise,Yes,NA,NA
511,1781-09-13,Die Verlobung,Bth,Court,reprise,Yes,NA,NA
513,1781-09-14,Die Schwiegermutter,Kth,Kinder,unknown,No,NA,"This performance, on a Friday, is not in Hadamowsky or Von Alth/Obzyna/"
515,1781-09-15,Das öffentliche Geheimniß,Bth,Court,premiere,Yes,NA,NA
517,1781-09-16,Das öffentliche Geheimniß,Bth,Court,reprise,Yes,NA,NA
519,1781-09-17,Der Dichterling,Bth,Court,reprise,Yes,NA,NA
521,1781-09-18,Das öffentliche Geheimniß,Bth,Court,reprise,Yes,NA,NA
522,1781-09-19,Die Wirthschaftlerinn,Bth,Court,reprise,Yes,NA,NA
524,1781-09-20,Das öffentliche Geheimniß,Bth,Court,reprise,Yes,NA,NA
526,1781-09-21,Die Schwiegermutter,Bth,Kinder,reprise,No,NA,NA
528,1781-09-22,Percy,Bth,Court,reprise,Yes,NA,NA
531,1781-09-23,Die Wölfe in der Heerde,Bth,Court,reprise,Yes,NA,Final performance
534,1781-09-24,Die Eroberung von Saint-Lucie,Bth,Court,reprise,Yes,NA,Final performance
536,1781-09-25,Wahrheit ist gut Ding,Bth,Court,reprise,Yes,NA,NA
538,1781-09-26,Zemire und Azor,Bth,Court,reprise,Yes,NA,"Schletter: ""Zemire u. Apor [sic] mit / Ballet."""
539,1781-09-27,Das Loch in der Thüre,Bth,Court,reprise,Yes,NA,NA
540,1781-09-28,Adelheit von Veltheim,Bth,Kinder,reprise,No,NA,NA
541,1781-09-29,Der seltne Freyer,Bth,Court,premiere,Yes,NA,NA
544,1781-09-30,Das öffentliche Geheimniß,Bth,Court,reprise,Yes,NA,NA
547,1781-10-01,Zemire und Azor,Bth,Court,reprise,Yes,NA,NA
548,1781-10-02,Der seltne Freyer,Bth,Court,reprise,Yes,NA,NA
552,1781-10-03,Der seltne Freyer,Bth,Court,reprise,Yes,NA,NA
554,1781-10-04,Inkle und Yariko,Bth,Court,reprise,Yes,NA,NA
557,1781-10-05,Reinhold und Armida,Bth,unknown,premiere,No,NA,"Possibly a benefit for composer Peter Winter, who seems still to have been in Vienna?"
558,1781-10-06,Edwin und Emma,Bth,Court,reprise,Yes,NA,NA
560,1781-10-07,Zemire und Azor,Bth,Court,reprise,Yes,NA,NA
562,1781-10-08,Das öffentliche Geheimniß,Bth,Court,reprise,Yes,NA,NA
564,1781-10-09,Betrug für Betrug,Bth,Court,reprise,Yes,NA,NA
567,1781-10-10,Das Findelkind,Bth,Court,reprise,Yes,NA,NA
569,1781-10-11,Die gegenseitige Probe,Bth,Court,reprise,Yes,NA,NA
573,1781-10-12,Reinhold und Armida,Bth,unknown,reprise,No,NA,NA
575,1781-10-13,Der Ostindienfahrer,Bth,Court,premiere,Yes,NA,"Performed just three times in 1781, and revived for two performances in 1785."
576,1781-10-14,"L'Olympiade, ou le Triomphe de l'amitié",Kth,French,reprise,No,NA,NA
577,1781-10-15,Theaters closed (Saint Teresa's Day),NA,NA,NA,NA,NA,NA
578,1781-10-16,Die Liebe unter den Handwerksleuten,Bth,Court,reprise,Yes,NA,NA
581,1781-10-17,Der Barbier von Sevilien,Bth,Court,reprise,Yes,NA,NA
583,1781-10-18,Die Pilgrime von Mekka,Bth,Court,reprise,Yes,NA,NA
586,1781-10-19,Adelheit von Veltheim,Kth,Kinder,reprise,No,NA,NA
587,1781-10-20,Der Ostindienfahrer,Bth,Court,reprise,Yes,NA,"Third performance. SchletterL ""Der Ostindienfahrer / (Autors Einnahme.)"""
589,1781-10-21,Die abgeredte Zauberey,Bth,Court,reprise,Yes,NA,NA
593,1781-10-22,Der Dienstfertige,Bth,Court,reprise,Yes,NA,Final performance of Schletter's version.
595,1781-10-23,Iphigenie auf Tauris,Bth,Court,premiere,Yes,NA,NA
598,1781-10-24,Henriette,Bth,Court,reprise,Yes,NA,NA
600,1781-10-25,Iphigenie auf Tauris,Bth,Court,reprise,Yes,NA,NA
603,1781-10-26,Theaters closed,NA,NA,NA,NA,NA,NA
604,1781-10-27,Die Familie,Bth,Court,premiere,Yes,NA,NA
606,1781-10-28,Die Familie,Bth,Court,reprise,Yes,NA,NA
608,1781-10-29,Der Hausfreund,Bth,Court,reprise,Yes,NA,NA
